State/Union Territory,Year,Power_Requirement_Net_Crore_Units,Availability_Of_Power_Net_Crore_Units,Availability_Of_Power_Per_Capita_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt
West Bengal,2019-20,5295,5282,587.2,11027
Andaman and Nicobar Islands,2020-21,35,32,850.1,75
Andhra Pradesh,2020-21,6208,6208,1254.5,25484
Arunachal Pradesh,2020-21,72,71,514,765
Assam,2020-21,1019,982,313.7,1794
Bihar,2020-21,3417,3402,327.7,6321
Chandigarh,2020-21,152,152,1434.9,215
Chhattisgarh,2020-21,3047,3045,1176.8,13076
Dadra and Nagar Haveli,2020-21,550,550,16071.3,509
Daman and Diu,2020-21,222,222,9147.9,256
Delhi,2020-21,2956,2956,1764.1,7590
Goa,2020-21,408,408,2793.1,596
Gujarat,2020-21,11162,11162,1852,37893
Haryana,2020-21,5316,5311,2094.7,12481
Himachal Pradesh,2020-21,1019,1013,1477.4,4155
Jammu and Kashmir,2020-21,1977,1722,1394.5,3478
Jharkhand,2020-21,995,968,292.5,2548
Karnataka,2020-21,6885,6883,1125.9,30091
Kerala,2020-21,2512,2510,752.3,5837
Lakshadweep,2020-21,6,6,869.2,1
Madhya Pradesh,2020-21,8344,8344,1143.5,25489
Maharashtra,2020-21,15068,15066,1340.7,44166
Manipur,2020-21,97,97,360.3,262
Meghalaya,2020-21,203,201,675.4,616
Mizoram,2020-21,73,72,689.9,207
Nagaland,2020-21,83,82,422.4,179
Odisha,2020-21,2985,2985,704.1,8594
Puducherry,2020-21,264,264,2120.8,380
Punjab,2020-21,5845,5838,2105.6,14389
Rajasthan,2020-21,8531,8521,1241.9,26045
Sikkim,2020-21,55,55,872.9,678
Tamil Nadu,2020-21,10119,10119,1401.4,33695
Telangana,2020-21,6700,6699,1904.5,17218
Tripura,2020-21,148,148,402.5,724
Uttar Pradesh,2020-21,12437,12338,618.1,27896
Uttarakhand,2020-21,1383,1382,1365.8,3731
West Bengal,2020-21,5164,5154,572.9,11037
